Artist,Genre
rockwell,pop
rolling stones,60s
roma,Milled Pavement
romes,funk
ron gallo,blues
ronda,alternative
roy orbison,rockabilly
royal blood,Garage Rock
royal republic,swedish
rumatera,punk rock
rupert holmes,70s
rush,hard rock
russkaja,russian
shvpes,alternative metal
soil,Nu Metal
sr-71,alternative
sun,alternative rock
said the whale,indie rock
saint agnes,Garage Rock
saint asonia,hard rock
saliva,Nu Metal
sam fender,british
sammy hagar,classic rock
san lorenzo,indie
sandy e junior,dance
sanitário sexy,ska
santa cruz,Glam Metal
santa esmeralda,70s
saturno,death metal
scalene,brazil
scandal,j-pop
scars on broadway,rock
scatolove,pop rock
seether,hard rock
selvagens à procura de lei,brazil
septicflesh,atmospheric death metal
sepultura,death metal
set it off,rock
seu cuca,brazil
sex pistols,british
shaman's harvest,Southern Rock
sheafs,indie rock
shinedown,alternative rock
sick of it all,nyhc
sick puppies,alternative
silverchair,alternative rock
silversun pickups,alternative
simple plan,punk rock
sin shake sin,indie rock
sioux 66,hard rock
sir sly,indie rock
sixx a.m.,melodic metal
skank,pop rock
skating polly,rock
skid row,Glam Metal
skillet,rock
skindred,reggae
slash,guitar
slaves,punk
sleep token,alternative metal
sleeping with sirens,emocore
slipknot,heavy metal
smash into pieces,hard rock
smash mouth,alternative rock
sonata arctica,melodic metal
sons of texas,metal
sorority noise,punk
soundgarden,alternative rock
spinal tap,comedy
spinnerette,alternative rock
spiritbox,DJENT
stabbing westward,rock
starbenders,Garage Rock
starset,space rock
static-x,Nu Metal
stealers wheel,70s
steel panther,heavy metal
steppenwolf,hard rock
stereopony,j-pop
stevie nicks,rock
stevie ray vaughan,guitar
stevie wonder,motown
stitched up heart,alternative metal
stolen byrds,brazil
stone sour,alternative metal
stone temple pilots,alternative rock
story untold,canada
strange bones,indie
stray from the path,chaotic hardcore
strike,pop punk
stromae,belgian
stu hamm,instrumental
suasion,electronic
sublime,punk
subsonica,alternative
sugar kane,punk rock
sum 41,pop punk
sumo cyco,alternative
supercombo,brazil
supergrass,rock
survivor,80s
sweet,70s
system of a down,rock
the s.l.p.,british
tx2,post-hardcore
take the day,alternative rock
talco,italian
taproot,rock
tarja turunen,finnish
tasters,hardcore
tenacious d,hard rock
the all-american rejects,pop punk
the amity affliction,australian
the animal in me,electronic
the animals,rock
the armed,hardcore
the avalanche,rock
the baggios,brazil
the band camino,indie
the beatles,british
the best of me,great
the black cheetahs,noise rock
the black crowes,blues rock
the black keys,rock
the black moods,american
the blue stones,rock
the blues brothers,soul
the bombpops,punk
the cadillac black,country rock
the casualties,hardcore punk
the chats,australian
the clash,british
the coasters,soul
the cult,Gothic Rock
the damned things,rock
the dandy warhols,alternative
the darkness,glam rock
the dead daisies,rock
the dead weather,alternative
the devil wears prada,screamo
the dirty youth,female vocalist
the distillers,female vocalist
the donnas,punk rock
the dust coda,rock
the enemy,british
the exploited,punk rock
the foundations,60s
the fratellis,british
the greenhornes,rock
the hu,mongolian
the heavy,indie
the hives,Garage Rock
the individuals,funk
the isley brothers,motown
the jackson 5,pop
the jon spencer blues explosion,blues
the killers,indie rock
the kinks,rock
the knack,classic rock
the kooks,british
the lazys,hard rock
the letter black,hard rock
the living end,punk rock
the longshot,american
the magpie salute,rock
the marcels,60s
the marvelettes,60s
the messenger birds,Garage Rock
the misfits,punk rock
the motorleague,pop rock
the mysterines,indie
the mönic,alternative rock
the native howl,rock
the nearly deads,alternative
the neighbourhood,indie pop
the offspring,rock
the one hundred,electronic
the orwells,indie
the pale white,britpop
the paranoyds,punk
the phantoms,russian
the pretty reckless,female vocalist
the qemists,ninja tune
the raconteurs,alternative
the rasmus,finnish
the raven age,metalcore
the red jumpsuit apparatus,rock
the regrettes,pop rock
the rolling stones,british
the sidh,italian
the score,rock
the shelters,blues rock
the smashing pumpkins,alternative
the sore losers,belgian
the spinners,funk
the steve miller band,70s
the stone roses,madchester
the stray cats,blues
the strokes,indie
the struts,british
the sword,Stoner Rock
the temptations,funk
the turtles,rock
the undertones,new wave
the used,rock
the veer union,rock
the vines,indie rock
the von bondies,indie rock
the warning,mexico
the weeknd,dubstep
the whispers,Disco
the white stripes,alternative rock
the who,british
the wild!,rock-hard
the wombats,british
the zasters,brazil
theory of a deadman,post-grunge
these grey men,alternative rock
thousand below,alternative rock
thousand foot krutch,rock
three days grace,alternative
tihuana,brazil
tim maia,funk
tinariwen,mali
titãs,brazil
todd barriage,pop rock
tokio hotel,gay
tom morello,alternative
tom petty,singer-songwriter
tommaso paradiso,pop rock
tool,metal
toothgrinder,hardcore
toy dolls,british
train,alternative
transplants,alternative
trapt,alternative
trela,hiphop
tremonti,metal
trivium,metal
trust,hard rock
trust company,alternative
turisas,battle metal
turnover,dream pop
twelve foot ninja,Progressive metal
twenty one two,alternative rock
twin pumpkin,indie rock
twisted sister,Glam Metal
two door cinema club,british
two feet,electronic
týr,Progressive metal
u2,irish
ugly kid joe,alternative rock
underoath,hardcore
unprocessed,german
vampire weekend,indie pop
van halen,rock
vance joy,singer-songwriter
vasco da gama,portuguese metal
velvet revolver,alternative rock
vespas mandarinas,indie
vesuvius,80s
viagra boys,egg punk
vikings,hard rock
village people,70s
violent new breed,punk
violet soda,brazil
vivendo do ócio,indie rock
volbeat,metal
vundabar,Garage Rock
war,black metal
warlock,Female fronted metal
warrant,80s
waterparks,rock
we the kings,alternative
weezer,alternative rock
weighbridge,metalcore
weird al yankovic,fucking amazing
wham,oldies
wheatus,alternative rock
while she sleeps,hardcore
whiplash,heavy metal
white reaper,punk rock
whitesnake,rock
wild cherry,70s
wildstreet,glam rock
wind rose,folk metal
within temptation,Female fronted metal
wolfmother,Stoner Rock
written by wolves,rock
yellowcard,pop punk
yerba brava,southern elite circle
yngwie malmsteen,Power metal
yonaka,alternative rock
young the giant,rock
youngblood hawke,electronic
younger hunger,indie rock
your broken hero,post-hardcore
youth,psytrance
yungblud,british
zz top,rock
zac brown band,zac brown band
zander,melodic hardcore
zebrahead,pop punk
zimbra,brazil
[spunge],punk
jxdn,pop punk
qbo,rock
ария,russian
би-2,russian
звери,russian
земфира,rock
калевала,pagan metal
король и шут,punk
любэ,rock
мастер,russian
мураками,female vocalist
муслим магомаев,russian
океан ельзи,ukrainian rock
отава ё,russian
папин олимпос,electronic
полматери,industrial jungle pussy punk
пасош,punk
порнофильмы,russian
слот,russian
элизиум,russian
††† (crosses),experimental
+44,alternative rock
3 doors down,hard rock
30 seconds to mars,emo
311,reggae
5 seconds of summer,pop
a day to remember,screamo
a perfect circle,alternative
acdc,rock
afi,alternative
aka george,british
axty,alternative rock
accept,german
adelitas way,post-grunge
adema,metal
aerosmith,80s
against me!,punk rock
against the current,alternative
airbourne,australian
akado,alternative
alestorm,true scottish pirate metal
alffa,welsh
aliados,rock pop brasilian
alice cooper,heavy metal
alice in chains,hard rock
alien ant farm,punk rock
all american rejects,emo
all that remains,hardcore
all the postcards,melodic hardcore
allison,pop
alt-j,british
alter bridge,post-grunge
amaranthe,Pop Metal
amatory,russian alternative
american authors,american
american avenue,melodic punk
american hi-fi,alternative
amy shark,australian
amy winehouse,british
anacondaz,abstract hip-hop
anarbor,punk rock
andrew w. k.,Delete
andrew watt,watt
andy black,indie
angie,Neue Deutsche Welle
ankor,Progressive metal
annisokay,rock
anthrax,speed metal
anti-flag,political
apocalyptica,finnish
april wine,canada
arctic monkeys,rock
aretha franklin,blues
armin van buuren,vocal trance
art of dying,alternative
art of anarchy,Post Grunge
as i may,suomi metalli
asking alexandria,electronic
aston merrygold,British Male Vocalists
aterciopelados,rock
atlantida project,folk
atreyu,screamo
audioslave,alternative
audrey horne,alternative rock
aurthohin,hard rock
autoramas,alternative rock
avatar,swedish
avenged sevenfold,hardcore
averse,atmospheric black metal
avril lavigne,female vocalist
awolnation,indie rock
bones uk,rock
brvnks,indie lo-fi
babamania,alternative rock
bad 4 good,melodic rock
bad omens,alternative rock
bad religion,political
bad wolves,DJENT
badflower,emo
baha men,rap
baleia,alternative
barns courtney,folk
baroness,post-rock
barrett strong,60s
beast in black,metal
beastie boys,Hip-Hop
bee gees,classic rock
beginners,Garage Rock
ben e king,yanfire
benny goodman,clarinet
beware of darkness,blues rock
beyond the black,metal
beyond unbroken,metalcore
bikini kill,punk rock
bill conti,rocky
billie joe armstrong,Great Lyricist
billy idol,classic rock
billy ocean,Disco
billy talent,punk
bishop briggs,indie rock
biting elbows,alternative rock
black coffee,blues
black days,hardcore
black eyed peas,rap
black label society,Southern metal
black light burns,alternative
black pistol fire,blues
black rain,techno
black sabbath,metal
black smoke trigger,alternative metal
black stone cherry,Stoner Rock
black veil brides,Gothic Glam
blackberry smoke,country rock
blacklite district,alternative rock
blake shelton,male country
bleeker,canada
blind guardian,heavy metal
blind pigs,brazil
blink-182,rock
blondie,female vocalist
blood red shoes,Garage Rock
bloodywood,Nu Metal
blossoms,UK
blue stahli,fixt music
blue swede,70s
blues saraceno,guitar virtuoso
blues traveler,alternative
blur,alternative
bob bradley,gareth johnson
body count,metal
boikot,spanish
bon jovi,80s
bonnie tyler,rock
bowling for soup,punk
boxcar racer,rock
boys like girls,emo
brantley gilbert,Real Country
breaking benjamin,alternative
breakout,rock
bring me the horizon,screamo
britney spears,Britney Spears
bruno mars,r&b
brutto,punk rock
buckcherry,alternative
buckethead,Avant-Garde
bullet for my valentine,emocore
bury tomorrow,british
bush,alternative
cpm 22,melodic hardcore
crx,power pop
csi,giovanni lindo ferretti
cab calloway,blues
caesars,indie rock
cage the elephant,indie
caju e castanha,repente
cake,alternative rock
calva louise,UK
cam cole,folk
caparezza,italian rap
capital cities,pop
capital inicial,brazil
captives,post-hardcore
carl carlton,70s
casey edwards,bang bang bang
cassia,pop
cassia eller,brazil
catfish and the bottlemen,indie
cefa,alternative rock
chameleon,dnb
charles mingus,Avant-Garde
charlie brown jr,brazil
chase & status and blossoms,dubstep
cherri bomb,alternative
chester bennington,alternative
chevelle,alternative
chic,70s
chubby checker,oldies
chuck berry,rock n roll
cinderella,80s
cleopatrick,alternative
clutch,stoner
comeback kid,hardcore punk
counting crows,90s
cracker blues,brazil
crash kings,alternative rock
creed,alternative
creedence clearwater revival,60s
crown the empire,trancecore
cry excess,electronic
cryptic fate,bangladeshi
crystal palace,Progressive
cult to follow,hard rock
d-a-d,danish
diamante,heavy metal
dan owen,folk
dandy warhols,groovy
dangerkids,alternative rock
danko jones,canada
danzig,rock
darlia,british
darshan,psychedelic
darude,techno
dashboard confessional,rock
dave brubeck,cool jazz
dayseeker,alternative metal
daði freyr,Eurovision
dead fish,melodic hardcore
dead kennedys,hardcore
dead posey,female fronted
dead sara,alternative
death from above,punk
deb and the mentals,brazil
declan mckenna,indie rock
decyfer down,christian
dee snider,metal
deepfield,alternative
def leppard,80s
default,canada
delain,metal
demob happy,alternative rock
demon hunter,christian
der baum,post-punk
des rocs,indie rock
desakato,Asturies
descendents,pop punk
dibob,pop
dick dale,rock
dinosaur pile-up,Grunge
dirty honey,rock
dirty loops,pop
disaster cities,stoner
discharge,Crust
discrepancies,rap metal
disturbed,rock
don broco,alternative rock
dona cislene,brazil
dope,industrial
doro,female vocalist
dorothy,indie
downplay,rock
downset,metal
dr. saxlove,saxophone
drag me out,xyecoc
dragged under,Easycore
dream state,alternative rock
dropkick murphys,folk punk
drowning pool,alternative metal
drugs,funk-rock
durry,powerviolence
dust in mind,modern metal
dylan,dnb
emf,rock
erra,Technical Metalcore
etno,alternative metal
eagles,soft rock
eagles of death metal,Garage Rock
"earth, wind & fire",american
eddy grant,reggae-pop
edith piaf,chanson francaise
ego kill talent,alternative rock
egypt central,rock
elle king,blues
elvis presley,oldies
elyose,metal
eminem,Hip-Hop
emmercia,post hardcore
ennio morricone,composer
escape the fate,hardcore
eskimo callboy,electronic
europe,classic rock
evanescence,Gothic
evans blue,alternative
evarose,alternative
every time i die,Southern Rock
extreme,Glam Metal
fever 333,alternative metal
fabulous bandits,Alt-country
face to face,pop punk
fall out boy,alternative
fallcie,alternative
falling in reverse,hardcore
false heads,alternative rock
fantastic negrito,blues rock
far from alaska,brazil
feeder,alternative
felicity,Easycore
fenix tx,rock
fergie,Hip-Hop
filter,industrial rock
finger eleven,hard rock
finley,pop rock
fire from the gods,Nintendocore
fireflight,female vocalist
fistt,rock
fit for rivals,alternative
fitz and the tantrums,indie
five finger death punch,thrash metal
flamenco,beautiful
flaw,hard rock
flyleaf,alternative
foals,british
focus,dutch
foo fighters,alternative
footloose,musicals
forfun,pop punk
fozzy,rock
framing hanley,alternative
franz ferdinand,alternative
fresno,hardcore
from ashes to new,Nu-metal
fuel,post-grunge
fugazi,hardcore
fun.,pop
funkadelic,p-funk
furia inc.,metal
fused,trip-hop
gabriel o pensador,political
gary glitter,rock
george baker,Soundtrack
ghosts of august,rock
giant rooks,german
glenn miller,40s
gloria,rock
gnarls barkley,alternative
godsmack,rock
goldfrapp,electronic
good charlotte,punk
goodbye june,Southern Rock
goody grace,rap
gorky park,russian
gotthard,heavy metal
grand funk railroad,70s
grandson,rock
green day,alternative
greta van fleet,Led Zeppelin
grimes,psychedelic
grinspoon,alternative
grumpster,rock
guano apes,female vocalist
guess who,Guess Who
guns n' roses,80s
haim,female vocalist
him,finnish
halestorm,alternative rock
halocene,alternative
hammerfall,swedish
hands off gretel,alternative rock
hatebreed,metal
have no heroes,latvia
hawthorne heights,alternative
haymaker,thrash
helia,screamo
hell or highwater,punk rock
helloween,metal
hellyeah,Southern metal
helmet,rock
herb alpert,trumpet
hermitude,australian
highly suspect,blues rock
himalayas,welsh
hit the lights,rock
hockey dad,australian
hole,alternative
hollow point heroes,alternative
hollywood undead,screamo
holy wars,alternative
honey revenge,female vocal
hot chocolate,soul
hot mulligan,math rock
hotel mira,Vancouver
hourcast,Nu Metal
hudson,power pop
hushpuppies,indie rock
hämatom,groove metal
héroes del silencio,Rock en Espanol
i dont know how but they found me,indie
i prevail,alternative metal
inxs,australian
iowa,indie rock
ice nine kills,emo
icon for hire,alternative
idles,post-hardcore
il teatro degli orrori,noise
imagine dragons,rock
imperial state electric,swedish
impractical jokers,impractical jokers
in evil hour,UK
inocentes,brazil
instinto,spain
irie révoltés,dancehall
ivete sangalo,brazil
jack white,indie
jade bird,acoustic
james bay,british
james brown,blues
jane's addiction,Grunge
janes addiction,heavy
jared dines,brutal deathcore
jerry cantrell,alternative rock
jerry lee lewis,oldies
jet,indie
jimi hendrix,psychedelic
jimmy eat world,alternative rock
joan jett,80s
joe esposito,one hit wonder
joe inoue,rock
joe walsh,blues
joey ramone,classic rock
john 5,rock
john denver,acoustic
johnny cash,classic rock
judas priest,NWOBHM
junior senior,danish
k.flay,Hip-Hop
kxm,alternative metal
kyuss,stoner metal
kaiser chiefs,britpop
kaleo,blues rock
kalevala,Finnish prog
kana-boon,indie
kane strang,indie folk
kasabian,alternative
kennyhoopla,punk
kent,indie
killer be killed,metalcore
killing joke,industrial rock
killswitch engage,hardcore
kings of leon,alternative
kiss,rock
kix,80s
korn,rock
kobra and the lotus,metal
kool & the gang,male vocalists
l.a. guns,80s
l7,female vocalist
lacey sturm,christian
lacuna coil,female vocalist
lamb of god,thrash metal
lansdowne,rock
led zeppelin,70s
ledger,pop rock
leeds,pop
lenny kravitz,pop
leo moracchioli,metal
less than jake,punk
letlive,hardcore
lisa,female vocalist
lillasyster,rock
lily allen,britpop
limp bizkit,alternative
lindemann,german
linea 77,rapcore
linkin park,alternative
lipps inc,funky town
lit,pop punk
litfiba,italian rock
little big,govno
liverpool,brazil
living in fiction,american
loikaemie,german
lord of the lost,glam rock
lordi,metal
los fabulosos cadillacs,latin
lost in sight,heavy
louis prima,lounge
louna,Nu-metal
loveless,Post-Black Metal
lower than atlantis,british
luciano pavarotti,italian
lupa,Fusion
lynyrd skynyrd,hard rock
mgmt,alternative
monatik,Ukraine
machine gun kelly,american
madball,hardcore punk
madness,new wave
maeder,under 2000 listeners
maglore,rock
mamonas assassinas,brazil
mancha verde,CHORA BIXARADA
manic street preachers,alternative rock
manowar,true metal
mantra,Hip-Hop
marilyn manson,rock
maroon 5,alternative
marsicans,indie pop
marvin gaye,rhythm and blues
massacration,brazil
matanza,rock
matchbook romance,punk
maximun the hormone,hardcore punk
mayday parade,alternative
medulla,alternative metal
megadeth,speed metal
megaraptor,instrumental rock
melvins,rock
memphis may fire,screamo
menores atos,alternative rock
metallica,hard rock
michael jackson,soul
mick jagger,singer-songwriter
mike shinoda,rap
milan,AzRock
miles kane,rock
millencolin,skate punk
minerva,Nu-metal
mingus big band,bass
misfits,hardcore punk
missio,alternative rock
miyavi,jrock
mod sun,rap
modern baseball,punk
molho negro,Power Trio
molotov,mexican
moptop,indie rock
moscow death brigade,antifa
motionless in white,hardcore
motley crue,Glam Metal
motorocker,rock
motörhead,speed metal
mountain,rock
mowgly,Drum and bass
mud,classic rock
muddy waters,delta blues
mudvayne,Nu-metal
mulamba,brazil
muse,Progressive rock
mushroomhead,industrial metal
mxpx,pop punk
my chemical romance,punk rock
my darkest days,modern rock
myles kennedy,hard rock
myrath,folk metal
måneskin,Funk Rock
mötley crüe,80s
nofx,ska punk
nx zero,emocore
nazareth,70s
neck deep,hardcore
neffex,rap
nevermore,Power metal
new found glory,punk rock
new years day,alternative
new york dolls,punk rock
nickelback,alternative
nico vega,indie
nightwish,metal
nik nocturnal,Progressive Metalcore
nine inch nails,alternative
nine lashes,alternative
nirvana,alternative rock
no doubt,alternative
no resolve,rock
no vacancy,alternative rock
noize mc,russian
nonpoint,rock
norman greenbaum,60s
northward,depressive black metal
nothing but thieves,indie rock
nothing more,rock
nova twins,Hip-Hop
o grilo,alternative
o surto,punk rock
ok go,alternative
oasis,alternative
ocean grove,alternative metal
odio,d-beat
of mice & men,alternative metal
official hige dandism,J-rock
oliver tree,Hip-Hop
one ok rock,jrock
one republic,rock
oomph!,metal
os seminovos,alternative
our lady peace,canada
our last night,hardcore
our waking hour,rock
outkast,Hip-Hop
ozzy osbourne,classic rock
p.o.d.,alternative
palaye royale,glam rock
palina,experimental
palisades,screamo
panic! at the disco,pop punk
panicland,indie rock
pantera,heavy metal
papa roach,alternative
paramore,female vocalist
parkway drive,melodic metalcore
parliament,70s
patti labelle,funk
paul mccartney,singer-songwriter
pearl jam,alternative
pendulum,dnb
pennywise,hardcore
pense,brazil
periphery,mathcore
phantogram,experimental
pharrell williams,Hip-Hop
pierce the veil,experimental
pillar,christian
pitty,brazil
plain white t's,alternative
player,classic rock
ploho,Russian Post-Punk
poets of the fall,alternative
poison,rock
pokey lafarge,singer-songwriter
polyphia,math metal
pomme,folk
ponto nulo no céu,brazil
pop evil,rock
poppy,electropop
porcupine,rock
powerman 5000,Nu Metal
powerwolf,metal
pretty vicious,indie rock
priestess,canada
primal fear,metal
primus,rock
project46,brazil
propagandhi,political
prophets of rage,Hip-Hop
psychedelic porn crumpets,Stoner Rock
psycho synner,art rock
puddle of mudd,Grunge
purgen,punk rock
queen,hard rock
quiet riot,rock
r.e.m.,indie
rage against the machine,political
red hot chili peppers,Funk Rock
rpm,brazil
run dmc,80s
racing,All
raimundos,brazil
rain paris,alternative rock
rainbow,rock
raised fist,swedish
rammstein,german
ramones,70s
rancid,ska
rangers,chillwave
rascal flatts,rock
raspberries,spotify
ratos de porão,punk
ratt,80s
ravdina,4
ray charles,rhythm and blues
reckless love,Glam Metal
red,hard rock
red fang,stoner
redbone,funk
reel big fish,punk
refused,hardcore punk
reignwolf,canada
relic hearts,rv 2017
renee phoenix,female vocalist
rev theory,post-grunge
richie kotzen,guitar
riot,hard rock
rise against,hardcore
rise of the northstar,french
rival sons,rock
rivals,punk
rob zombie,hard rock
robert delong,electro
rock mafia,rock
rockwell,electronic
rolling stones,70s
roma,Hip-Hop
romes,electronic
ronda,alternative rock
roy orbison,60s
royal republic,hard rock
rumatera,rock boaro
rupert holmes,classic rock
rush,rock
russkaja,ska punk
shvpes,alternative rock
soil,alternative metal
sr-71,pop punk
sun,soul
sabaton,metal
said the whale,indie pop
saint agnes,london
saint asonia,rock
saint motel,indie pop
saliva,alternative rock
sam fender,rock
sammy hagar,heavy metal
san lorenzo,punk
sandy e junior,00s
sanitário sexy,psychedelic
santa cruz,glam rock
santa esmeralda,Soundtrack
saturno,Italy
scalene,alternative rock
scandal,rock
scars on broadway,alternative
seether,Grunge
selvagens à procura de lei,brazil
septicflesh,Melodic Death Metal
sepultura,brazil
set it off,alternative
seu cuca,reggae
sex pistols,70s
shaman's harvest,alternative rock
sheafs,post-punk
shinedown,post-grunge
sick of it all,hardcore punk
sick puppies,hard rock
sick tamburo,indie rock
silverchair,alternative
silversun pickups,shoegaze
simple plan,punk
sin shake sin,american
sioux 66,brazil
sir sly,indie pop
sixx a.m.,male vocalist
skank,brazil
skating polly,riot grrrl
skid row,80s
skillet,alternative
slash,80s
slaves,alternative rock
slayer,speed metal
sleep token,DJENT
sleeping with sirens,experimental
smash into pieces,post-grunge
smash mouth,ska
social distortion,rockabilly
sonata arctica,finnish
sons of texas,Southern Rock
sorority noise,indie
soulfly,Nu Metal
soundgarden,alternative
spinal tap,rock
spinnerette,punk rock
spiritbox,Progressive metal
stabbing westward,alternative
starbenders,garage
starset,electronic
state champs,alternative rock
static-x,industrial
stealers wheel,folk
steel panther,Glam Metal
steppenwolf,60s
stereopony,anime
stevie nicks,singer-songwriter
stevie ray vaughan,classic rock
stevie wonder,pop
stitched up heart,hard rock
stolen byrds,rock brasil
stone sour,Nu Metal
stone temple pilots,alternative
story untold,punk
strange bones,UK
stray from the path,metalcore
strike,hardcore
stromae,french
stu hamm,virtuosos
suasion,belgian
sublime,rock
subsonica,rock
sugar kane,brazil
sum 41,rock
sumo cyco,female vocalist
supercombo,Power pop
supergrass,british
survivor,hard rock
sweet,rock
system of a down,Nu Metal
the s.l.p.,alternative
tx2,Trash
take the day,alt. metal
taking back sunday,alternative
taproot,alternative
tarja turunen,Female fronted metal
tasters,modern metal
tenacious d,alternative rock
the all-american rejects,emo
the amity affliction,emocore
the animal in me,melodic metalcore
the animals,british
the armed,post-hardcore
the avalanche,norwegian
the baggios,Blues Brasil
the beatles,60s
the best of me,awful
the black cheetahs,post-punk
the black crowes,hard rock
the black keys,indie
the black moods,Rock Music
the blue stones,blues
the blues brothers,Soundtrack
the bombpops,female vocalist
the cadillac black,american
the casualties,punk rock
the chats,Garage Rock
the clash,rock
the coasters,60s
the cult,80s
the damned things,metal
the dandy warhols,indie rock
the dead daisies,classic rock
the dead weather,Stoner Rock
the devil wears prada,Christian Metalcore
the dirty youth,rock
the distillers,rock
the donnas,punk
the exploited,street punk
the foundations,motown
the fratellis,rock
the greenhornes,indie
the hu,folk
the heavy,rock
the hives,indie
the individuals,60s garage
the interrupters,punk
the isley brothers,rhythm and blues
the jackson 5,funk
the killers,alternative
the kinks,british
the knack,power pop
the kooks,britpop
the lazys,australian
the letter black,rock
the living end,australian
the longshot,punk
the magpie salute,american
the marcels,rock n roll
the marvelettes,female vocalist
the misfits,80s
the motorleague,punk rock
the mysterines,alternative rock
the native howl,country
the nearly deads,hard rock
the neighbourhood,rock
the offspring,alternative
the one hundred,post-hardcore
the orwells,Lo-Fi
the pale white,rock
the paranoyds,american
the pretty reckless,post-grunge
the qemists,Drum and bass
the raconteurs,indie rock
the rasmus,alternative
the raven age,metal
the raveonettes,danish
the red jumpsuit apparatus,pop punk
the regrettes,punk rock
the rolling stones,60s
the sidh,celtic
the score,alternative
the shelters,Southern Rock
the smashing pumpkins,Grunge
the sore losers,Belgium
the spinners,70s
the starting line,rock
the steve miller band,Psychedelic Rock
the stone roses,rock
the stray cats,garage
the strokes,alternative
the struts,glam rock
the subways,british
the sword,heavy metal
the temperance movement,hard rock
the temptations,oldies
the turtles,oldies
the undertones,irish
the used,alternative
the veer union,modern rock
the vines,alternative
the vintage caravan,classic rock
the von bondies,rock
the warning,hardcore punk
the weeknd,canada
the whispers,80s
the white stripes,indie
the who,60s
the wombats,indie rock
theory of a deadman,hard rock
these grey men,hard rock
thousand below,hardcore
thousand foot krutch,alternative
three days grace,hard rock
thrice,emo
tihuana,hardcore
tim maia,brazil
tinariwen,blues
titãs,80s
todd barriage,acoustic
tokio hotel,pop rock
tom morello,guitarists
tom petty,80s
tommaso paradiso,italian
tool,alternative
toothgrinder,experimental
toy dolls,ska
train,pop
transplants,rock
trapdoor social,alternative rock
trapt,hard rock
trela,cpm22
tremonti,thrash metal
trust,french
trust company,rock
turnover,indie
twelve foot ninja,alternative rock
twenty one two,pop rock
twin pumpkin,brazil
twisted sister,80s
two door cinema club,alternative
two feet,american
týr,pagan metal
u2,pop
ugly kid joe,90s
underoath,metalcore
unprocessed,metalcore
van halen,80s
vance joy,australian
vasco da gama,rock
vespas mandarinas,alternative
vesuvius,classic rock
viagra boys,dance-punk
vikings,old school
village people,80s
violent new breed,punk rock
violet soda,alternative rock
vivendo do ócio,rock
volbeat,rockabilly
vundabar,boston
war,classic rock
warlock,metal
warrant,heavy metal
waterparks,pop rock
we are harlot,alternative rock
we the kings,pop rock
weezer,indie
weighbridge,Easycore
weird al yankovic,humour
wham,rock
wheatus,pop
while she sleeps,melodic metalcore
whiplash,thrash
whitesnake,80s
wild cherry,soul
wildstreet,Glam Metal
wind rose,symphonic metal
within temptation,metal
written by wolves,industrial rock
x ambassadors,electronic
yellowcard,punk
yerba brava,argentinian black metal
yngwie malmsteen,metal
yonaka,british
you me at six,pop rock
young guns,post-hardcore
young the giant,american
youngblood hawke,pop
younger hunger,american
your broken hero,emo punk
youth,downtempo
yungblud,rock
zsk,skatepunk
zz top,Southern Rock
zac brown band,Southern Country
zebrahead,rapcore
zimbra,brazil
jxdn,emo rap
qbo,mexican
ария,metal
би-2,pop rock
звери,pop rock
земфира,female vocalist
калевала,Russian Folk Metal
король и шут,russian
любэ,folk
мастер,russian metal
мураками,female vocal
муслим магомаев,60s
океан ельзи,pop rock
отава ё,Russia
папин олимпос,pop
полматери,govno
порнофильмы,Grunge
слот,Nu-metal
элизиум,ska-punk
††† (crosses),ambient
+44,rock
3 doors down,3 Doors Down
30 seconds to mars,indie
311,ska
5 seconds of summer,australian
a day to remember,emocore
a perfect circle,metal
acdc,heavy metal
afi,emo
aka george,pop
axty,brazil
accept,Power metal
adelitas way,modern rock
adema,Nu-metal
aerosmith,70s
against me!,rock
against the current,pop
airbourne,rock n roll
akado,Shizo-nu-metal
alestorm,Scottish
alffa,cymraeg
aliados,alternative rock
alice cooper,glam rock
alice in chains,alternative
alien ant farm,punk
all american rejects,american
all time low,emo
all the postcards,brazil
allison,punk
alt-j,alternative
alter bridge,alternative
amaranthe,Female fronted metal
amatory,Nu-metal
american authors,pop rock
american hi-fi,punk
amy shark,indie pop
amy winehouse,singer-songwriter
anacondaz,rap
anarbor,indie pop
andrew w. k.,hard rock
andrew watt,andrew watt
andy black,pop
andy grammer,american
angels & airwaves,indie
angie,mexico
ankor,metalcore
annisokay,emo
anouk,pop
anti-flag,political punk
april wine,heavy metal
architects,metal
arctic monkeys,alternative
aretha franklin,rhythm and blues
armin van buuren,dance
art of dying,canada
art of anarchy,alternative rock
as i may,mikkelicore
asking alexandria,hardcore
aston merrygold,the masked singer
aterciopelados,female vocalist
atlantida project,electronic
atreyu,rock
audioslave,Grunge
audrey horne,alternative metal
aurthohin,Bangla Metal
avatar,metal
avenged sevenfold,rock
averse,french
avril lavigne,canada
awolnation,rock
bb king,rock
bones uk,alternative
babamania,alternative punk
bad 4 good,male vocalists
bad omens,american
bad religion,rock
bad wolves,metalcore
badflower,indie
baha men,dance
baleia,experimental
barns courtney,british
baroness,sludge metal
barrett strong,rnb
beartooth,metal
beast in black,finnish
bee gees,oldies
beginners,electronic
ben e king,yan drive
benny goodman,oldies
betzefer,metal
beyond unbroken,emo
big data,indie
bikini kill,indie
bill conti,score
billie joe armstrong,green day
