Artist,Genre
jerry lee lewis,rockabilly
jet,rock
jimi hendrix,classic rock
jimmy & rats,country
jimmy eat world,rock
joan jett,rock
joe esposito,80s
joe inoue,J-rock
joe walsh,classic rock
joey ramone,punk
john 5,instrumental
john denver,country
johnny cash,country
judas priest,heavy metal
junior senior,dance
just the girl,indescribable
k.flay,Hip-Hop
kongos,rock
kxm,hard rock
kyuss,Stoner Rock
kaiser chiefs,indie
kaleo,rock
kalevala,Progressive rock
kana-boon,J-rock
kane strang,New Zealand
kasabian,indie
kennyhoopla,pop punk
kent,swedish
killer be killed,groove metal
killing joke,post-punk
killswitch engage,metalcore
kingdom collapse,alternative metal
kings of leon,rock
kiss,hard rock
kix,hard rock
korn,Nu Metal
kobra and the lotus,heavy metal
kool & the gang,funk
l.a. guns,hard rock
l.s. dunes,post-hardcore
l7,Grunge
lacey sturm,christian rock
lacuna coil,Gothic Metal
lamb of god,metalcore
lansdowne,alternative rock
led zeppelin,classic rock
ledger,rock
leeds,Ballad
lenny kravitz,rock
leo moracchioli,metal
less than jake,ska
letlive,post-hardcore
lisa,j-pop
liam gallagher,britpop
like a storm,alternative rock
lilith czar,rock
lily allen,pop
lime cordiale,indie
limp bizkit,Nu Metal
lindemann,industrial metal
linea 77,Nu Metal
linkin park,rock
lipps inc,funk
lit,rock
litfiba,rock
little big,electronic
liverpool,brazil
living in fiction,post-hardcore
loikaemie,Oi
lord of the lost,Gothic Rock
lordi,hard rock
los fabulosos cadillacs,ska
lost in sight,metalcore
lostprophets,rock
louis prima,swing
louna,alternative
loveless,japanese
lower than atlantis,hardcore
luciano pavarotti,opera
lucky chops,brass
lupa,chinese
lynyrd skynyrd,classic rock
mgmt,electronic
monatik,pop
machine gun kelly,Hip-Hop
madball,hardcore
madness,ska
maeder,hard rock
maglore,indie
mamonas assassinas,rock
mancha verde,carnaval
manic street preachers,rock
manowar,heavy metal
mantra,chaotic hardcore
marilyn manson,industrial
maroon 5,rock
marsicans,indie rock
marvin gaye,soul
massacration,heavy metal
mastodon,Progressive metal
matanza,countrycore
matchbook romance,emo
maximun the hormone,punk
mayday parade,pop punk
me first and the gimme gimmes,punk
meagdeth,tornado of souls
medulla,metalcore
megadeth,thrash metal
megaraptor,metal
melvins,Sludge
memphis may fire,post-hardcore
menores atos,post-hardcore
metallica,thrash metal
michael jackson,pop
mick jagger,rock
mike shinoda,Hip-Hop
milan,azeri rock
miles kane,british
millencolin,punk rock
mingus big band,jazz
misfits,horror punk
missio,electronic
miyavi,J-rock
mod sun,pop punk
modern baseball,emo
modestep & teddy killerz,dubstep
molho negro,rock
molotov,rapcore
moptop,indie
moscow death brigade,underground hip-hop
motionless in white,metalcore
motley crue,hard rock
motorocker,hard rock
motörhead,heavy metal
mountain,classic rock
mowgly,jungle
mud,glam rock
muddy waters,blues
mudvayne,Nu Metal
mulamba,girl power
muse,alternative rock
mushroomhead,Nu Metal
mxpx,punk
my chemical romance,rock
my darkest days,alternative rock
myles kennedy,rock
myrath,Progressive metal
måneskin,rock
mötley crüe,hard rock
nofx,punk
nx zero,rock
nazareth,classic rock
neck deep,pop punk
neffex,electronic
nem liminha ouviu,rock n roll
nervosa,thrash metal
nevermore,Progressive metal
new found glory,pop punk
new years day,female vocalist
new york dolls,glam rock
nickelback,rock
nico vega,female vocalist
night spins,garage pop
nightwish,symphonic metal
nik nocturnal,metalcore
nine inch nails,industrial
nine lashes,alternative rock
nirvana,Grunge
no doubt,rock
no resolve,modern rock
no vacancy,rock
noize mc,Hip-Hop
nonpoint,Nu Metal
norman greenbaum,classic rock
northward,black metal
nothing more,Progressive rock
nova twins,punk
nove zero nove,rock
o grilo,indie rock
o surto,rock
ok go,indie
oasis,britpop
ocean grove,Nu Metal
odio,punk
of mice & men,post-hardcore
official hige dandism,japanese
oliver tree,electronic
once monsters,alternative
one ok rock,J-rock
one republic,alternative
oomph!,industrial metal
origem da alma,RapMetal
os seminovos,rock
our lady peace,rock
our last night,post-hardcore
our waking hour,alternative rock
out of black,hard rock
outkast,Hip-Hop
ozzy osbourne,heavy metal
p.o.d.,Nu Metal
palaye royale,alternative
palina,Belarusian
palisades,post-hardcore
panic! at the disco,rock
panicland,canada
pantera,thrash metal
papa roach,rock
paramore,rock
parkway drive,metalcore
parliament,funk
partizan,alternative rock
patti labelle,soul
paul mccartney,classic rock
pearl jam,Grunge
pendulum,Drum and bass
pennywise,punk
pense,melodic hardcore
periphery,Progressive metal
phantogram,trip-hop
pharrell williams,Hip-Hop
pierce the veil,post-hardcore
pillar,christian rock
pink fly,post-grunge
pitty,rock
placebo,alternative rock
plain white t's,indie
player,70s
ploho,post-punk
poets of the fall,rock
poison,hard rock
polyphia,Progressive metal
pomme,french
ponto nulo no céu,metalcore
pop evil,post-grunge
poppy,pop
porcupine,hardcore
pornofilm,nesodden
powerman 5000,industrial metal
powerwolf,Power metal
pretty vicious,Garage Rock
priestess,Stoner Rock
primal fear,Power metal
primus,funk metal
project46,metalcore
propagandhi,punk
psychedelic porn crumpets,Psychedelic Rock
psycho synner,satanic
puddle of mudd,rock
purgen,punk
queen,classic rock
queens of the stone age,Stoner Rock
quiet riot,heavy metal
r.e.m.,rock
rage against the machine,rock
red hot chili peppers,rock
rpm,rock
run dmc,Hip-Hop
racing,rock
raimundos,hardcore
rain paris,rock
rainbow,hard rock
raised fist,hardcore
rammstein,industrial metal
ramones,punk
rancid,punk
rangers,Lo-Fi
rascal flatts,country
raspberries,rock
ratos de porão,hardcore
ratt,hard rock
ravdina,female vocalist
ray charles,jazz
real madrid,spanish
reckless love,hard rock
red,alternative rock
red fang,Stoner Rock
red sun rising,hard rock
redbone,classic rock
reel big fish,ska
refused,hardcore
reignwolf,blues rock
relic hearts,rock
renee phoenix,hard rock
rev theory,hard rock
richie kotzen,rock
riot,heavy metal
rise against,punk rock
rise of the northstar,hardcore
rival sons,blues rock
rivals,alternative rock
river plate,el mejor de argentina lejos
rob zombie,industrial metal
rock mafia,pop
rocken dogs,rock
rockwell,Drum and bass
rolling stones,classic rock
roma,instrumental hip-hop
romes,indie pop
ron gallo,Garage Rock
ronda,pop
roy orbison,classic rock
royal blood,rock
rumatera,italian
rupert holmes,pop
rush,Progressive rock
shvpes,metalcore
soil,metal
sr-71,rock
sun,funk
sabaton,Power metal
said the whale,canada
saint agnes,rock
saint asonia,alternative rock
saint motel,indie
saliva,hard rock
sam fender,indie rock
sammy hagar,hard rock
san lorenzo,rock
sandy e junior,pop
sanitário sexy,rock
santa esmeralda,Disco
saturno,black metal
saytr play,indie pop
scalene,rock
scandal,J-rock
scars on broadway,alternative rock
scatolove,indie
scott pilgrim,rock
seether,rock
selvagens à procura de lei,indie rock
septicflesh,death metal
sepultura,thrash metal
set it off,pop punk
seu cuca,rock
sex pistols,punk
shaman's harvest,hard rock
shinedown,rock
sick of it all,hardcore
sick puppies,alternative rock
sick tamburo,punk rock
silverchair,Grunge
silversun pickups,indie rock
simple plan,rock
simpsons,children s-childrens
sin shake sin,alternative rock
sioux 66,rock
sir sly,indie
sixx a.m.,alternative rock
skank,rock
skating polly,punk
skid row,hard rock
skillet,christian rock
skindred,reggae metal
slash,hard rock
slaves,post-hardcore
slayer,thrash metal
sleep token,Progressive metal
sleeping with sirens,post-hardcore
slipknot,Nu Metal
smash into pieces,alternative rock
smash mouth,rock
social distortion,punk
sonata arctica,Power metal
sorority noise,emo
soulfly,thrash metal
soundgarden,Grunge
spinal tap,heavy metal
spinnerette,female vocalist
spiritbox,metalcore
stabbing westward,industrial
starbenders,glam rock
starset,alternative rock
state champs,pop punk
