Artist,Songs,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5
dee snider,1,heavy metal,hard rock,Glam Metal,metal,
deepfield,1,alternative rock,post-grunge,rock,alternative,Post Grunge
def leppard,3,hard rock,classic rock,rock,80s,Glam Metal
default,1,rock,alternative rock,alternative,canada,hard rock
delain,1,symphonic metal,Gothic Metal,Female fronted metal,metal,dutch
demob happy,1,,Grunge,indie rock,alternative rock,Garage Rock
demon hunter,1,metalcore,metal,christian metal,christian,hardcore
der baum,4,new wave,brazil,rock,post-punk,
des rocs,2,rock,,alternative rock,indie rock,indie
desakato,2,punk rock,rock,punk,Asturies,
descendents,4,punk,punk rock,hardcore punk,pop punk,hardcore
devilskin,1,hard rock,New Zealand,alternative metal,,rock
dibob,1,hardcore,brazil,rock,pop,punk
dick dale,1,surf rock,Surf,instrumental,rock,classic rock
dinosaur pile-up,4,,indie rock,alternative,Grunge,indie
dirty honey,2,hard rock,blues rock,,rock,american
dirty loops,2,funk,Fusion,jazz,pop,experimental
disaster cities,2,indie,alternative,brazil,stoner,bluesrock
discharge,1,hardcore punk,d-beat,punk,Crust,hardcore
discrepancies,1,rapcore,alternative rock,Nu Metal,rap metal,rock
disturbed,24,metal,Nu Metal,hard rock,rock,alternative
don broco,4,,post-hardcore,rock,alternative rock,alternative
dona cislene,2,rock,hardcore,brazil,brazil,alternative
dope,2,industrial metal,Nu Metal,metal,industrial,rock
doro,1,heavy metal,hard rock,Female fronted metal,female vocalist,metal
dorothy,11,rock,hard rock,blues rock,indie,Garage Rock
downplay,1,alternative rock,post-grunge,hard rock,rock,alternative
downset,1,hardcore,rapcore,crossover,metal,alternative
dr. saxlove,1,jazz,instrumental,american,saxophone,american
drag me out,1,govno,zoophile,pidor,xyecoc,post-hardcore
dragged under,1,post-hardcore,metalcore,hardcore,Easycore,punk
dragonforce,3,Power metal,speed metal,metal,,Extreme Power Metal
dream state,2,post-hardcore,piano rock,rock,alternative rock,alternative
dropkick murphys,4,punk,punk rock,,folk punk,irish
drowning pool,4,Nu Metal,metal,hard rock,alternative metal,rock
drugs,1,funk,Black Rock,soul,funk-rock,black metal
durry,1,indie rock,punk,indie pop,powerviolence,
dust in mind,1,industrial metal,Melodic Death Metal,metal,modern metal,Female fronted metal
dylan,5,Drum and bass,darkstep,,dnb,Drum and bass
emf,1,90s,pop,electronic,rock,alternative
erra,1,Progressive Metalcore,metalcore,melodic metalcore,Technical Metalcore,post-hardcore
etno,4,brazil,Romanian,rock,alternative metal,Nu Metal
eagles,1,classic rock,rock,70s,soft rock,country
eagles of death metal,5,,Stoner Rock,rock,Garage Rock,alternative rock
"earth, wind & fire",1,funk,soul,Disco,american,rnb
eddy grant,1,reggae,80s,pop,reggae-pop,dance
edith piaf,1,french,female vocalist,chanson,chanson francaise,oldies
ego kill talent,7,,brazil,rock,alternative rock,hard rock
egypt central,3,alternative rock,alternative metal,hard rock,rock,alternative
elle king,1,indie pop,rock,female vocalist,blues,
elvis presley,16,rock n roll,classic rock,rock,oldies,rock n roll
elyose,1,Female fronted metal,industrial metal,,metal,symphonic metal
eminem,3,rap,Hip-Hop,Eminem,Hip-Hop,pop
emmercia,1,metalcore,hardcore,under 2000 listeners,post hardcore,
ennio morricone,3,Soundtrack,instrumental,Classical,composer,italian
escape the fate,8,post-hardcore,screamo,emocore,hardcore,emo
eskimo callboy,3,post-hardcore,trancecore,metalcore,electronic,experimental
europe,1,hard rock,rock,80s,classic rock,Glam Metal
evanescence,6,rock,Gothic Rock,female vocalist,Gothic,alternative
evans blue,1,alternative rock,rock,hard rock,alternative,alternative metal
evarose,2,rock,female vocalist,alternative rock,alternative,british
every time i die,1,hardcore,metalcore,,Southern Rock,screamo
exodus,1,thrash metal,metal,speed metal,,heavy metal
extreme,2,hard rock,rock,funk metal,Glam Metal,metal
fever 333,9,rapcore,post-hardcore,,alternative metal,rock
fpg,3,Punk-Rock,russian,streetpunk,,
fabulous bandits,1,bluegrass,country,hillbilly,Alt-country,vi ao vivo
face to face,1,punk rock,punk,,pop punk,rock
fall out boy,14,pop punk,rock,emo,alternative,punk
fallcie,2,metalcore,Female fronted metal,post-hardcore,alternative,Melodic Death Metal
falling in reverse,10,post-hardcore,screamo,rock,hardcore,ronnie radke
false heads,1,indie rock,punk rock,Garage Rock,alternative rock,Garage Punk
fantastic negrito,1,blues,soul,funk,blues rock,rock
far from alaska,22,Stoner Rock,rock,alternative rock,brazil,female vocalist
feeder,1,rock,,indie,alternative,alternative rock
felicity,1,pop punk,hard rock,trash rock,Easycore,Soundtrack
fenix tx,1,pop punk,punk rock,punk,rock,
fergie,1,pop,rnb,female vocalist,Hip-Hop,dance
fidlar,1,Garage Rock,Lo-Fi,punk,,skate punk
filter,1,rock,alternative rock,alternative,industrial rock,industrial
finger eleven,2,alternative rock,rock,alternative,hard rock,canada
finley,1,italian,pop punk,hardpop,pop rock,pop
fire from the gods,2,metalcore,deathcore,electronic,Nintendocore,experimental
fireflight,1,christian rock,rock,alternative rock,female vocalist,christian
fistt,1,hardcore,punk rock,melodic hardcore,rock,Fistt
fit for rivals,11,alternative rock,rock,punk rock,alternative,punk
fitz and the tantrums,1,soul,pop,,indie,funk
five finger death punch,21,metalcore,groove metal,metal,thrash metal,hardcore
flamenco,2,jazz,heavy metal,new age,beautiful,Gothic Metal
flaw,1,Nu Metal,alternative metal,metal,hard rock,rock
flics,1,post-punk,,,,
flyleaf,1,alternative rock,female vocalist,rock,alternative,hard rock
foals,1,indie,math rock,indie rock,british,
focus,1,Progressive rock,classic rock,rock,dutch,Progressive
foo fighters,24,rock,alternative rock,Grunge,alternative,
footloose,1,80s,musical,rock,musicals,Southern Rock
forfun,1,rock,hardcore,brazil,pop punk,reggae
fozzy,3,heavy metal,hard rock,metal,rock,
framing hanley,1,alternative rock,rock,post-hardcore,alternative,indie
franz ferdinand,2,indie,indie rock,rock,alternative,
fresno,3,rock,emo,brazil,hardcore,emocore
from ashes to new,2,rapcore,alternative metal,electronic,Nu-metal,Nu Metal
fuel,1,rock,alternative rock,alternative,post-grunge,hard rock
fugazi,1,post-hardcore,punk,indie,hardcore,indie rock
fun.,1,indie pop,indie,alternative,pop,rock
funkadelic,2,funk,soul,psychedelic,p-funk,rock
furia inc.,1,groove metal,thrash metal,brazil,metal,
fused,1,lounge,downtempo,chillout,trip-hop,pop punk
gabriel o pensador,1,rap,brazil,Hip-Hop,political,brazil
ganggorra,2,rock,punk rock,brazil,,
gary glitter,1,glam rock,70s,classic rock,rock,glam
george baker,1,rock,classic rock,oldies,Soundtrack,dutch
george clinton,2,funk,p-funk,soul,,jazz
ghost,8,heavy metal,Psychedelic Rock,doom metal,,psychedelic
